week_ending,country,simd_quintile,deaths,average20152019,percent_variation
2021-07-04,S92000003,1,273,241.2,13.2
2021-07-04,S92000003,2,244,227.4,7.3
2021-07-04,S92000003,3,225,217.2,3.6
2021-07-04,S92000003,4,179,181.6,-1.4
2021-07-04,S92000003,5,165,152,8.6
2021-07-11,S92000003,1,242,248.4,-2.6
2021-07-11,S92000003,2,253,228.6,10.7
2021-07-11,S92000003,3,255,222.2,14.8
2021-07-11,S92000003,4,169,170.2,-0.7
2021-07-11,S92000003,5,161,142.2,13.2
2021-07-18,S92000003,1,282,242.6,16.2
2021-07-18,S92000003,2,271,229.6,18
2021-07-18,S92000003,3,221,215.6,2.5
2021-07-18,S92000003,4,200,178.4,12.1
2021-07-18,S92000003,5,150,152.4,-1.6
2021-07-25,S92000003,1,274,246.8,11
2021-07-25,S92000003,2,254,229.8,10.5
2021-07-25,S92000003,3,238,200.8,18.5
2021-07-25,S92000003,4,194,166.8,16.3
2021-07-25,S92000003,5,164,146,12.3
2021-08-01,S92000003,1,291,245,18.8
2021-08-01,S92000003,2,234,222,5.4
2021-08-01,S92000003,3,237,201.6,17.6
2021-08-01,S92000003,4,196,169,16
2021-08-01,S92000003,5,191,134,42.5
2021-08-08,S92000003,1,273,238.4,14.5
2021-08-08,S92000003,2,233,216.4,7.7
2021-08-08,S92000003,3,200,204.6,-2.2
2021-08-08,S92000003,4,202,179.2,12.7
2021-08-08,S92000003,5,163,150.2,8.5
2021-08-15,S92000003,1,263,243,8.2
2021-08-15,S92000003,2,231,218,6
2021-08-15,S92000003,3,232,210.4,10.3
2021-08-15,S92000003,4,179,178.8,0.1
2021-08-15,S92000003,5,187,147,27.2
2021-08-22,S92000003,1,284,235.8,20.4
2021-08-22,S92000003,2,253,225.4,12.2
2021-08-22,S92000003,3,250,205,22
2021-08-22,S92000003,4,212,174.6,21.4
2021-08-22,S92000003,5,168,146,15.1
2021-08-29,S92000003,1,256,242.6,5.5
2021-08-29,S92000003,2,271,222.6,21.7
2021-08-29,S92000003,3,202,204.4,-1.2
2021-08-29,S92000003,4,204,172.2,18.5
2021-08-29,S92000003,5,188,149.8,25.5
2021-09-05,S92000003,1,268,244,9.8
2021-09-05,S92000003,2,262,219,19.6
2021-09-05,S92000003,3,233,194.2,20
2021-09-05,S92000003,4,212,172.8,22.7
2021-09-05,S92000003,5,202,146.8,37.6
2021-09-12,S92000003,1,263,244.6,7.5
2021-09-12,S92000003,2,260,226.4,14.8
2021-09-12,S92000003,3,207,196,5.6
2021-09-12,S92000003,4,230,178,29.2
2021-09-12,S92000003,5,162,136.6,18.6
2021-09-19,S92000003,1,292,247.8,17.8
2021-09-19,S92000003,2,294,228.6,28.6
2021-09-19,S92000003,3,268,200,34
2021-09-19,S92000003,4,218,178.8,21.9
2021-09-19,S92000003,5,181,147.2,23
2021-09-26,S92000003,1,298,248.2,20.1
2021-09-26,S92000003,2,316,224,41.1
2021-09-26,S92000003,3,234,198.2,18.1
2021-09-26,S92000003,4,205,180.4,13.6
2021-09-26,S92000003,5,166,150.2,10.5
2021-10-03,S92000003,1,287,248,15.7
2021-10-03,S92000003,2,292,241.6,20.9
2021-10-03,S92000003,3,260,218.6,18.9
2021-10-03,S92000003,4,236,180.6,30.7
2021-10-03,S92000003,5,175,152.8,14.5
2021-10-10,S92000003,1,337,241.6,39.5
2021-10-10,S92000003,2,319,237,34.6
2021-10-10,S92000003,3,278,215.8,28.8
2021-10-10,S92000003,4,242,188,28.7
2021-10-10,S92000003,5,186,150,24
2021-10-17,S92000003,1,329,253.4,29.8
2021-10-17,S92000003,2,329,239,37.7
2021-10-17,S92000003,3,278,224.4,23.9
2021-10-17,S92000003,4,217,186.4,16.4
2021-10-17,S92000003,5,186,170,9.4
2021-10-24,S92000003,1,340,257.4,32.1
2021-10-24,S92000003,2,299,238.6,25.3
2021-10-24,S92000003,3,258,217.6,18.6
2021-10-24,S92000003,4,220,186.6,17.9
2021-10-24,S92000003,5,196,155.6,26
2021-10-31,S92000003,1,304,260.2,16.8
2021-10-31,S92000003,2,311,228.4,36.2
2021-10-31,S92000003,3,297,223,33.2
2021-10-31,S92000003,4,229,183.8,24.6
2021-10-31,S92000003,5,196,152.8,28.3
2021-11-07,S92000003,1,331,254.4,30.1
2021-11-07,S92000003,2,295,238.8,23.5
2021-11-07,S92000003,3,239,220,8.6
2021-11-07,S92000003,4,215,192.8,11.5
2021-11-07,S92000003,5,207,166.8,24.1
2021-11-14,S92000003,1,361,260.2,38.7
2021-11-14,S92000003,2,303,245,23.7
2021-11-14,S92000003,3,262,234.4,11.8
2021-11-14,S92000003,4,237,184.8,28.2
2021-11-14,S92000003,5,170,174.6,-2.6
2021-11-21,S92000003,1,320,277.6,15.3
2021-11-21,S92000003,2,292,248,17.7
2021-11-21,S92000003,3,250,240.8,3.8
2021-11-21,S92000003,4,227,201,12.9
2021-11-21,S92000003,5,181,168,7.7
2021-11-28,S92000003,1,332,277,19.9
2021-11-28,S92000003,2,293,251,16.7
2021-11-28,S92000003,3,265,234.2,13.2
2021-11-28,S92000003,4,214,194,10.3
2021-11-28,S92000003,5,177,170.2,4
2021-12-05,S92000003,1,316,271,16.6
2021-12-05,S92000003,2,290,254.4,14
2021-12-05,S92000003,3,280,237.4,17.9
2021-12-05,S92000003,4,250,202.4,23.5
2021-12-05,S92000003,5,189,161.2,17.2
2021-12-12,S92000003,1,283,274.6,3.1
2021-12-12,S92000003,2,318,245,29.8
2021-12-12,S92000003,3,273,227.2,20.2
2021-12-12,S92000003,4,244,208.6,17
2021-12-12,S92000003,5,203,181.4,11.9
2021-12-19,S92000003,1,305,286.6,6.4
2021-12-19,S92000003,2,296,284.4,4.1
2021-12-19,S92000003,3,289,256.4,12.7
2021-12-19,S92000003,4,243,219.4,10.8
2021-12-19,S92000003,5,220,183.4,20
2021-12-26,S92000003,1,320,306.8,4.3
2021-12-26,S92000003,2,292,296.2,-1.4
2021-12-26,S92000003,3,268,255.6,4.9
2021-12-26,S92000003,4,237,222,6.8
2021-12-26,S92000003,5,213,184.8,15.3
